PMID;Title;Abstract;LCR;Function;Hard;Category
2444647;A Yersinia pseudotuberculosis protein which cross-reacts with HLA-B27.;The most-debated question in the investigation of the spondyloarthropathies has been whether there is molecular mimicry between host HLA-B27 antigens and the arthritis-causing pathogens. We have generated a monoclonal anti-HLA-B27 antibody in our laboratory and have used a radioimmunoassay to screen a panel of bacterial species. Two strains of Yersinia pseudotuberculosis were found to be highly reactive. The cross-reactive Yersinia component was identified by Western blot to be a 19,000 component. A preparative sodium dodecyl sulfate-polyacrylamide gel electrophoresis chromatography apparatus was constructed to isolate milligram quantities of this component. To verify that the component carried the HLA-B27-specific epitope, rabbits were hyperimmunized with the purified materials. Affinity-purified antibodies from one of the immunized rabbits indeed carried anti-HLA-B27 activity. Last, antibodies generated against synthetic peptides derived from the HLA-B27.1 amino acid sequence were tested against the Yersinia component. Positive reactivity was found with antibodies generated against a peptide spanning residues 69-83 of the HLA-B27.1 protein. Since this resides in the segment responsible for the allotypic specificity of the antigen, these experiments establish the presence of molecular mimicry to a high degree of confidence.;-;antigen;polyacrylamide;hard_3
11231015;Intermolecular interactions between the SH3 domain and the proline-rich TH region of Bruton's tyrosine kinase.;The SH3 domain of Bruton's tyrosine kinase (Btk) is preceded by the Tec homology (TH) region containing proline-rich sequences. We have studied a protein fragment containing both the Btk SH3 domain and the proline-rich sequences of the TH region (PRR-SH3). Intermolecular NMR cross-relaxation measurements, gel permeation chromatography profiles, titrations with proline-rich peptides, and (15)N NMR relaxation measurements are all consistent with a monomer-dimer equilibrium with a dissociation constant on the order of 60 microM. The intermolecular interactions do, at least in part, involve proline-rich sequences in the TH region. This behavior of Btk PRR-SH3 may have implications for the functional action of Btk.;proline;-;-;LCR_without_function
22561842;Cohort Profile: the National Prostate Cancer Register of Sweden and Prostate Cancer data Base Sweden 2.0.;In 1987, the first Regional Prostate Cancer Register was set up in the South-East health-care region of Sweden. Other health-care regions joined and since 1998 virtually all prostate cancer (PCa) cases are registered in the National Prostate Cancer Register (NPCR) of Sweden to provide data for quality assurance, bench marking and clinical research. NPCR includes data on tumour stage, Gleason score, serum level of prostate-specific antigen (PSA) and primary treatment. In 2008, the NPCR was linked to a number of other population-based registers by use of the personal identity number. This database named Prostate Cancer data Base Sweden (PCBaSe) has now been extended with more cases, longer follow-up and a selection of two control series of men free of PCa at the time of sampling, as well as information on brothers of men diagnosed with PCa, resulting in PCBaSe 2.0. This extension allows for studies with case-control, cohort or longitudinal case-only design on aetiological factors, pharmaceutical prescriptions and assessment of long-term outcomes. The NPCR covers >96% of all incident PCa cases registered by the Swedish Cancer Register, which has an underreporting of <3.7%. The NPCR is used to assess trends in incidence, treatment and outcome of men with PCa. Since the national registers linked to PCBaSe are complete, studies from PCBaSe 2.0 are truly population based.;-;antigen;-;hard_2
17653867;The Siva protein is a novel intracellular ligand of the CD4 receptor that promotes HIV-1 envelope-induced apoptosis in T-lymphoid cells.;In addition to its positive signaling function in the antigen presentation process, CD4 acts as the primary receptor for HIV-1. Contact between CD4 and the viral envelope leads to virus entry, but can also trigger apoptosis of uninfected CD4+ T-cells through a mechanism that is poorly understood. We show that Siva-1, a death domain-containing proapoptotic protein, associates with the cytoplasmic domain of CD4. This interaction is mediated by the cysteine-rich region found in the C-terminal part of the Siva-1 protein. Expression of Siva-1 specifically increases the susceptibility of both T-cell lines and unstimulated human primary CD4+ T-lymphocytes to CD4-mediated apoptosis triggered by the HIV-1 envelope, and results in activation of a caspase-dependent mitochondrial pathway. The same susceptibility is observed in T-cells expressing a truncated form of CD4 that is able to recruit Siva-1 but fails to associate with p56Lck, indicating that Siva-1 participates in a pathway independent of the p56Lck kinase activity. Altogether, these results suggest that Siva-1 might participate in the CD4-initiated signaling apoptotic pathway induced by the HIV-1 envelope in T-lymphoid cells. ;cysteine;kinase activity;-;LCR_with_function
9314562;Vaccination with DNA encoding the immunodominant LACK parasite antigen confers protective immunity to mice infected with Leishmania major.;To determine whether DNA immunization could elicit protective immunity to Leishmania major in susceptible BALB/c mice, cDNA for the cloned Leishmania antigen LACK was inserted into a euykaryotic expression vector downstream to the cytomegalovirus promoter. Susceptible BALB/c mice were then vaccinated subcutaneously with LACK DNA and challenged with L. major promastigotes. We compared the protective efficacy of LACK DNA vaccination with that of recombinant LACK protein in the presence or absence of recombinant interleukin (rIL)-12 protein. Protection induced by LACK DNA was similar to that achieved by LACK protein and rIL-12, but superior to LACK protein without rIL-12. The immunity conferred by LACK DNA was durable insofar as mice challenged 5 wk after vaccination were still protected, and the infection was controlled for at least 20 wk after challenge. In addition, the ability of mice to control infection at sites distant to the site of vaccination suggests that systemic protection was achieved by LACK DNA vaccination. The control of disease progression and parasitic burden in mice vaccinated with LACK DNA was associated with enhancement of antigen-specific interferon-gamma (IFN-gamma) production. Moreover, both the enhancement of IFN-gamma production and the protective immune response induced by LACK DNA vaccination was IL-12 dependent. Unexpectedly, depletion of CD8(+) T cells at the time of vaccination or infection also abolished the protective response induced by LACK DNA vaccination, suggesting a role for CD8(+) T cells in DNA vaccine induced protection to L. major. Thus, DNA immunization may offer an attractive alternative vaccination strategy against intracellular pathogens, as compared with conventional vaccination with antigens combined with adjuvants.;-;antigen;-;hard_2
455447;Nearly precise excision: a new type of DNA alteration associated with the translocatable element Tn10.;"We describe an unusual DNA alteration, ""nearly precise excision,"" which has been identified among tetracycline-sensitive deletion derivatives of lambda phages carrying the translocatable tetracycline-resistance element Tn10. DNA sequence analysis of two such derivatives demonstrates that each retains exactly 50 bp of Tn10 material. The original junctions between lambda and Tn10 sequences remain intact; however, an internal deletion has occurred within Tn10 which eliminates all but the last few base pairs at each end of the element. This deletion occurs within a short A + T-rich inverted repeat which is present near each end of Tn10. Nearly precise excisions occur at frequencies comparable to Tn10-promoted deletions, inversions and translocations, and, like these other events, are independent of phage and bacterial functions for homologous recombination (recA, recB, red). It is not yet clear, however, whether nearly precise excisions are specifically promoted by Tn10 or whether they arise during the course of normal DNA replication processes as a consequence of unusual symmetries present in the DNA sequence at the ends of Tn10.";threonine;-;-;LCR_without_function
8069192;Neutrophils from patients with myelodysplastic syndromes: relationship between impairment of granular contents, complement receptors, functional activities and disease status.;Myelodysplastic syndromes (MDS) are stem cell disorders of clonal origin in which infections and leukemic transformation are quite frequent. Neutrophils from 28 patients with MDS were analysed by flow cytometry for the expression of the two complement receptors CR1 and CR3, the antigenic reactivity of some granule constituents--myeloperoxidase, lysozyme, elastase, lactoferrin--and functional activities, such as locomotion, respiratory burst and cytotoxicity. The results were correlated with the FAB disease subtypes, grouped as low risk (RA) and high risk patients (RAEB, RAEB-t, CMML) and with 30 healthy subjects. A significant reduction in the percentage of neutrophil CR1, CR3 positivity and chemotaxis induced by endotoxin-activated serum was detected in the high risk group when compared with the low risk group and healthy controls. Furthermore, the high risk group also showed a low amount of myeloperoxidase, elastase, lysozyme and superoxide anion, but both low and high risk groups displayed reduced cellular cytotoxicity in comparison with the control. This work indicates that MDS patients belonging to the more advanced FAB categories frequently show multiple abnormalities in the expression of neutrophil complement receptors, and granular components (> 3), as well as in cell functions, suggesting the possibility of using these phenotypic abnormalities in the monitoring of disease progression.;-;antigen;-;hard_2
2902928;A tissue-specific transcription factor containing a homeodomain specifies a pituitary phenotype.;Multiple related cis-active elements required for cell-specific activation of the rat prolactin gene appear to bind a pituitary-specific positive transcription factor(s), referred to as Pit-1. DNA complementary to Pit-1 mRNA, cloned on the basis of specific binding to AT-rich cell-specific elements in the rat prolactin and growth hormone genes, encodes a 33 kd protein with significant similarity at its carboxyl terminus to the homeodomains encoded by Drosophila developmental genes. Pit-1 mRNA is expressed exclusively in the anterior pituitary gland in both somatotroph and lactotroph cell types, which produce growth hormone and prolactin, respectively. Pit-1 expression in heterologous cells (HeLa) selectively activates prolactin and growth hormone fusion gene expression, suggesting that Pit-1 is sufficient to confer a characteristic pituitary phenotype. The structure of Pit-1 and its recognition elements suggests that metazoan tissue phenotype is controlled by a family of transcription factors that bind to related cis-active elements and contain several highly conserved domains. ;threonine;transcription factor;-;LCR_with_function
1674817;"Mutations in the yeast RNA14 and RNA15 genes result in an abnormal mRNA decay rate; sequence analysis reveals an RNA-binding domain in the RNA15 protein.";In Saccharomyces cerevisiae, temperature-sensitive mutations in the genes RNA14 and RNA15 correlate with a reduction of mRNA stability and poly(A) tail length. Although mRNA transcription is not abolished in these mutants, the transcripts are rapidly deadenylated as in a strain carrying an RNA polymerase B(II) temperature-sensitive mutation. This suggests that the primary defect could be in the control of the poly(A) status of the mRNAs and that the fast decay rate may be due to the loss of this control. By complementation of their temperature-sensitive phenotype, we have cloned the wild-type genes. They are essential for cell viability and are unique in the haploid genome. The RNA14 gene, located on chromosome H, is transcribed as three mRNAs, one major and two minor, which are 2.2, 1.5, and 1.1 kb in length. The RNA15 gene gives rise to a single 1.2-kb transcript and maps to chromosome XVI. Sequence analysis indicates that RNA14 encodes a 636-amino-acid protein with a calculated molecular weight of 75,295. No homology was found between RNA14 and RNA15 or between RNA14 and other proteins contained in data banks. The RNA15 DNA sequence predicts a protein of 296 amino acids with a molecular weight of 32,770. Sequence comparison reveals an N-terminal putative RNA-binding domain in the RNA15-encoded protein, followed by a glutamine and asparagine stretch similar to the opa sequences. Both RNA14 and RNA15 wild-type genes, when cloned on a multicopy plasmid, are able to suppress the temperature-sensitive phenotype of strains bearing either the rna14 or the rna15 mutation, suggesting that the encoded proteins could interact with each other. ;alanine;nucleic acid binding;-;LCR_with_function
2434596;Clonal analysis of primary B cells responsive to the pathogenic bacterium Salmonella typhimurium.;In the present study, a modification of the splenic focus system is used to analyze the S. typhimurium strain TML (TML)-specific B cell repertoire. The results show that the frequency of primary TML-specific splenic B cells in CBA/Ca mice is approximately 1 per 10(5) B cells and less than 30% of these B cells are specific for LPS. In contrast, the frequency of memory TML-specific cells is approximately 1 per 5-8 X 10(3) splenic B cells and greater than 95% of these B cells are specific for LPS. These results suggest that the frequency of primary TML-specific B cells is extremely low and that it expands 15-20-fold after antigen exposure. It is interesting that less than 30% of the primary B cells are specific for the LPS molecule since it is considered to be the major antigenic determinant on Salmonella organisms. Furthermore, the majority of the LPS-specific anti-TML antibody-producing clones are directed against the LPS O antigen region. Conversely, more than half to two-thirds of the memory LPS-specific anti-TML B cell clones are directed against the KDO or lipid A region of the LPS molecule. These results indicate that the preferential expansion of LPS-specific B cell clones observed after immunization resides primarily in the B cell subsets responsive to the KDO/lipid A moieties on the LPS molecule. Finally, unlike B cell responses to chemically defined antigens, TML stimulates very little IgG1 antibody. IgG2 and IgA isotypes appear to play a predominant role in anti-TML antibody responses, although all H chain classes are produced to some extent. Collectively, these findings are consistent with the responses reported for two other natural antigens, HA and PC. Hence, the pattern of stimulation by infectious agents, such as S. typhimurium, appears to be distinct from that of synthetic antigens. Thus, the studies presented herein have begun to provide insights into those subsets of B cells responsive to S. typhimurium and other infectious disease organisms.;-;antigen;-;hard_2
